Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,,notes
,,,,,,,,,for mammals and birds forebrain includes pallium for reptiles entire telencephalon because palil count are not available
Mute swan,8.06,2.097,13.663,"323,661,000","607,105,000","1,001,000,000",9845,,
Greater rhea,12.61,3.066,21.335,"330,342,000","610,090,000","1,030,000,000",31900,,
Eastern rosella,1.705,0.23,2.716,"333,000,000","212,000,000","641,879,000",104,,
Von der Decken's hornbill,2.559,0.488,4.463,"347,953,000","336,220,000","783,670,000",222,,
Common buzzard,4.22,1.052,7.795,"351,700,000","510,277,000","1,001,000,000",749,,
Northern red-billed hornbill,2.58,0.412,4.153,"354,388,000","318,760,000","757,270,000",190,,
Red fox,24.41,4.823,41.94,"355,010,000","1,640,000,000","2,110,000,000",5490,,
Eurasian pygmy owl,2.21,0.228,3.02,"364,000,000","127,650,000","533,263,000",67.2,,
Western grey kangaroo,40.194,7.358,62.724,"370,170,000","1,990,000,000","2,460,000,000",25855,,
Canada goose,6.315,1.181,9.832,"379,833,000","440,299,000","913,484,000",4219.167,,
Swan goose,6.3,1.218,10.045,"381,096,000","445,189,000","917,876,000",4002.9,,
Eurasian scops owl,1.193,0.203,1.896,"385,088,000","133,901,000","570,997,000",114.09,,
Golden jackal,34.88,4.97,55.6,"393,620,000","1,218,000,000","1,730,000,000",9200,,
Monk parakeet,2.24,0.281,3.42,"396,000,000","195,000,000","696,765,000",81.7,,
Peregrine falcon,3.787,1.062,6.776,"396,060,000","548,548,000","1,060,000,000",672.8,,
Springbok,68.806,11.458,106.074,"396,900,000","2,257,000,000","2,724,000,000",39000,,
Black vulture,5.93,1.3985,9.967,"398,899,000","512,097,000","1,009,000,000",1747,,
Azure-winged magpie,2.218,0.271,3.393,"399,695,000","243,490,000","740,589,000",84.11,,
Little owl,2.99,0.3585,4.259,"400,822,000","134,013,000","585,923,000",169.56,,
Common hill myna,2.161,0.367,3.67,"410,330,000","365,738,000","906,127,000",262.075,,
European green woodpecker,2.73,0.42,4.162,"424,365,000","241,000,000","736,450,000",184.3,,
Barn owl,3.852,0.51,5.209,"437,000,000","214,000,000","739,740,000",580,,
Raccoon,24.491,3.338,34.186,"437,940,000","1,646,000,000","2,148,000,000",6000,,
Emu,12.979,3.399,21.811,"439,000,000","814,000,000","1,335,000,000",38925,,
West highland white terrier (dog),46.56,7.342,76.7,"440,160,000","2,187,000,000","2,830,000,000",9400,,
Three-striped night monkey,10.617,1.732,15.73,"441,900,000","1,040,000,000","1,468,000,000",800,,
Saker falcon,4.12,1.1971,7.315,"442,946,000","645,740,000","1,204,000,000",1006,,
Eurasian magpie,3.714,0.453,5.425,"443,000,000","349,000,000","897,274,000",178,,
Black woodpecker,6.016,0.73,8.491,"457,384,000","529,120,000","1,080,000,000",291,,
Chow chow (dog),39.74,7.82,69.2,"471,500,000","1,969,000,000","2,610,000,000",26000,,
Common ostrich,25.58,5.8009,40.249,"479,410,000","1,059,572,000","1,629,000,000",120050,,
Western jackdaw,4.165,0.483,6.023,"492,000,000","375,000,000","967,985,000",246,,
Striped hyena,67.45,14.032,99.214,"495,280,000","3,330,000,000","3,885,000,000",40000,,
Chihuahua (dog),32.48,5.06,52.1,"513,330,000","1,819,000,000","2,510,000,000",4000,,
