Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m
Common quail,0.36,0.109,0.787,"22,568,000","75,198,000","117,760,000",94.86
Mechow's mole-rat,0.627,0.391,2.15,"23,320,000","122,640,000","174,240,000",270.16
Hammer-headed bat,1.805,0.456,3.459,"24,343,000","221,298,000","274,519,000",310
Silvery mole-rat,0.457,0.215,1.65,"25,440,000","94,820,000","147,940,000",180.51
Cape mole-rat,0.401,0.25,1.65,"25,600,000","116,740,000","169,670,000",155.09
Eastern rock elephant shrew,0.471,0.168,1.04,"25,865,000","89,312,000","129,191,000",45.1
Cayenne spiny rat,0.924,0.33,2.078,"26,090,000","162,510,000","202,090,000",356.5
Wahlberg's epauletted fruit bat,0.634,0.193,1.224,"26,201,000","121,136,000","161,755,000",74
Eastern mole,0.476,0.153,0.999,"26,680,000","158,550,000","203,500,000",90
Common emerald dove,0.494,0.176,1.126,"27,148,000","109,818,000","168,489,000",119.64
Egyptian fruit bat,0.985,0.219,1.778,"28,859,000","132,436,000","172,232,000",120
Brown rat,0.769,0.272,1.724,"31,020,000","139,170,000","188,870,000",300
Four-toed elephant shrew,1.239,0.304,2.44,"33,947,000","110,650,000","156,830,000",210
Common bronzewing,0.869,0.257,1.848,"34,077,000","145,208,000","216,703,000",306.025
Pink-necked green pigeon,0.645,0.2,1.339,"34,357,000","114,792,000","174,476,000",128.85
Grey partridge,0.74,0.2071,1.565,"36,882,000","107,546,000","170,287,000",337.33
Ferret,3.123,0.92,5.429,"38,950,000","351,260,000","404,430,000",809
Northern bobwhite,0.51,0.1471,1.124,"39,112,000","80,021,000","148,399,000",181.08
African collared dove,0.51,0.1404,1.077,"39,997,000","72,381,000","139,271,000",137.25
Big-eared opossum,2.136,0.778,4.292,"42,500,000","334,260,000","392,500,000",1200
Cape dune mole-rat,1.011,0.683,3.78,"43,480,000","268,890,000","361,290,000",907.82
Guinea pig,1.938,0.5,3.656,"43,510,000","167,850,000","233,560,000",728
Silver-tipped imperial pigeon,1.449,0.434,2.915,"47,331,000","210,346,000","293,494,000",456.4
Quebrach crested tinamou,0.88,0.2526,1.84,"48,292,000","146,230,000","235,671,000",475.75
Red-legged partridge,1.055,0.243,2.091,"50,185,000","108,889,000","197,176,000",459.667
Common wood pigeon,1.28,0.4016,2.671,"51,325,000","164,834,000","258,681,000",468.33
Elegant crested tinamou,1,0.2734,1.996,"51,384,000","129,548,000","217,768,000",502.95
Eurasian blackcap,0.454,0.084,0.774,"52,000,000","76,000,000","156,728,000",16.7
California quail,0.607,0.194,1.256,"52,490,000","92,319,000","172,388,000",199.6
Speckled pigeon,0.897,0.316,1.944,"53,884,000","161,142,000","258,217,000",262.94
Prairie dog,2.586,0.789,5.321,"53,768,000","350,085,000","437,944,000",1515
Tetrao tetrix,1.562,0.48,3.375,"54,079,000","176,651,000","280,868,000",897.8
Black francolin,0.825,0.224,1.755,"54,209,000","139,932,000","232,541,000",368.6
Zebra finch,0.277,0.056,0.494,"55,000,000","56,000,000","135,976,000",12
Black-naped fruit dove,0.692,0.203,1.447,"55,673,000","115,880,000","205,810,000",99.55
Chilean tinamou,0.82,0.2376,1.744,"59,130,000","136,461,000","241,374,000",388.7
Luzon bleeding-heart,0.688,0.221,1.569,"59,161,000","134,425,000","236,600,000",199.2
Red junglefowl,1.335,0.369,2.819,"60,000,000","114,000,000","220,840,000",779.8
Common tree shrew,1.455,0.326,2.752,"60,390,000","185,280,000","261,400,000",200
Goldcrest,0.176,0.04,0.357,"64,000,000","66,000,000","163,874,000",5.6
European rabbit,4.448,1.412,9.132,"71,450,000","396,670,000","494,200,000",1800
Rock dove,0.915,0.332,2.095,"72,000,000","197,000,000","309,958,000",358.7
Common pheasant,1.898,0.451,3.845,"76,278,000","194,341,000","321,361,000",1221.667
Eastern grey squirrel,2.73,0.874,5.548,"77,330,000","342,830,000","453,660,000",533
Reeves's pheasant,1.7,0.5158,3.691,"80,688,000","245,720,000","387,173,000",1119
Great tit,0.58,0.09,0.94,"83,000,000","108,000,000","225,982,000",17.9
Eurasian sparrowhawk,1.28,0.4795,2.739,"87,832,000","253,630,000","401,751,000",162.4
Western tree hyrax,7.56,1.918,12.8,"98,960,000","360,929,000","504,573,000",1150
Green-rumped parrotled,0.715,0.098,1.146,"103,000,000","89,600,000","227,204,000",24
Wild turkey,2.89,0.8564,6.041,"105,654,000","315,741,000","492,873,000",3453.33
Black-rumped agouti*,8.913,2.742,17.628,"110,640,000","673,490,000","827,330,000",2843.3
Mallard,3.6,0.6496,5.541,"112,255,000","220,314,000","367,466,000",1361.67
Australian wood duck,2.282,0.597,4.007,"112,604,000","245,364,000","390,858,000",613.8
Eurasian wigeon,2.462,0.45,3.973,"113,159,000","151,783,000","285,523,000",636.8
Banded mongoose,9.29,1.548,14.292,"115,770,000","315,740,000","454,020,000",1332
Victoria crowned pigeon,2.94,0.8918,5.899,"118,445,000","405,518,000","578,697,000",1375.4
Ruddy shelduck,2.805,0.829,5.273,"119,202,000","264,298,000","421,445,000",1257.967
Tasmanian devil*,5.228,1.434,9.802,"122,600,000","601,070,000","744,640,000",8200
Yellow-Knobbed Curassow,4.92,1.184,9.02,"124,624,000","472,677,000","652,989,000",2448.6
Baikal teal,1.891,0.413,3.244,"129,036,000","151,217,000","300,240,000",449.05
Indian peafowl,3.15,0.8543,6.194,"129,621,000","374,518,000","570,934,000",3599.2
Lake duck,2.304,0.445,3.872,"129,874,000","112,566,000","300,059,000",551.15
Marbled duck,2.04,0.433,3.503,"130,142,000","213,841,000","386,920,000",452.2
Pygmy falcon,0.86,0.2106,1.628,"131,898,000","155,402,000","350,367,000",63.91
Helmeted guineafowl,1.852,0.494,3.747,"132,459,000","253,934,000","447,116,000",1703.9
Wandering whistling duck,2.701,0.616,4.533,"134,286,000","220,818,000","398,626,000",806.95
Parma wallaby,9.914,1.69,15.714,"135,620,000","558,080,000","711,130,000",4268
Common blackbird,1.091,0.213,1.887,"136,000,000","186,000,000","379,413,000",103.2
Wood duck,2.26,0.4028,3.853,"138,206,000","133,108,000","305,816,000",649.3
Smew,2.108,0.542,3.717,"140,265,000","256,227,000","438,961,000",513.55
Red kite,3.831,0.863,6.568,"145,561,000","403,410,000","639,483,000",843.4
Montagu's harrier,2.218,0.644,4.361,"148,326,000","348,250,000","577,353,000",243
Red-breasted goose,2.7,0.7371,4.788,"148,617,000","285,407,000","482,705,000",1042.3
Budgerigar,0.775,0.144,1.317,"149,000,000","119,000,000","321,822,000",30
Mandarin duck,2.244,0.432,3.763,"149,709,000","168,231,000","354,952,000",529.045
Cape Barren goose,4.866,1.073,7.909,"160,216,000","276,278,000","462,304,000",5204.75
Crested duck,2.857,0.666,4.935,"160,907,000","312,544,000","517,733,000",823.6
Eurasian teal,1.62,0.3163,2.768,"167,287,000","163,461,000","373,436,000",284.85
White-cheeked pintail,2.246,0.465,3.761,"168,674,000","213,112,000","420,382,000",458.4
Northern shoveler,2.017,0.453,3.427,"181,830,000","246,016,000","479,524,000",621.15
American kestrel,1.315,0.308,2.376,"182,502,000","214,534,000","469,942,000",108.02
Rock hyrax,10.478,2.058,16.853,"197,930,000","488,370,000","755,650,000",3600
Swamp wallaby,15.182,4.42,30.012,"208,110,000","1,200,000,000","1,440,000,000",12066
Red-legged seriema,4.546,1.109,8.514,"219,569,000","529,815,000","855,128,000",1732.3
Western marsh harrier,2.824,0.661,5.234,"224,467,000","352,456,000","687,877,000",478.5
Common starling,1.144,0.193,1.855,"226,000,000","193,000,000","482,505,000",74
Northern greater galago,6.29,1.196,10.15,"226,090,000","743,500,000","936,000,000",1300
Northern goshawk,3.931,1.186,7.568,"228,227,000","472,933,000","813,468,000",800.6
Common kestrel,1.88,0.5032,3.476,"237,903,000","312,406,000","624,582,000",204.33
Raccoon dog,15.53,3.26,28.11,"240,180,000","844,740,000","1,160,000,000",8545
Common marmoset,5.561,0.73,7.78,"244,720,000","361,370,000","635,800,000",255.2
Muscovy duck,4.235,0.768,7.076,"248,163,000","211,760,000","520,116,000",2009.3
House cat,24.176,5.11,34.858,"249,830,000","942,900,000","1,215,000,000",3900
Brown bear,222,45.106,315.004,"250,970,000","9,253,000,000","9,585,000,000",277500
Bennett's wallaby,16.102,3.572,26.994,"256,780,000","1,020,000,000","1,320,000,000",11110
Cockatiel,1.368,0.196,2.205,"258,000,000","129,000,000","452,766,000",90
Greylag goose,6.71,1.226,10.829,"258,650,000","420,729,000","735,359,000",2943.93
Goodfellow's tree-kangaroo,19.57,4.236,31.548,"273,430,000","1,240,000,000","1,550,000,000",13608
Steppe eagle,7.15,1.697,12.279,"288,470,000","682,506,000","1,106,000,000",3350
Black kite,3.715,0.876,6.622,"301,980,000","426,176,000","825,990,000",835.7
Capybara,48.175,6.632,74.734,"306,500,000","1,157,000,000","1,572,000,000",55000
Domestic pig,42.404,8.128,64.18,"307,082,000","1,858,000,000","2,224,000,000",130000
Mute swan,8.06,2.097,13.663,"323,661,000","607,105,000","1,001,000,000",9845
Greater rhea,12.61,3.066,21.335,"330,342,000","610,090,000","1,030,000,000",31900
Eastern rosella,1.705,0.23,2.716,"333,000,000","212,000,000","641,879,000",104
Common buzzard,4.22,1.052,7.795,"351,700,000","510,277,000","1,001,000,000",749
